channel,name,keep,ilastik,deepcell
Pr141,SMA,1,1,
Nd142,CD19,1,2,
Nd143,TIM3,1,3,
Nd144,EpCAM,1,4,
Nd145,TBet,1,5,
Nd146,RORgT,1,6,
Sm147,CD163,1,7,
Nd148,CCR7,1,8,
Sm149,CD15,1,9,
Nd150,PDL1,1,10,
Sm152,CD56,1,11,
Eu153,LAG3,1,12,
Sm154,CD1c,1,13,
Gd155,CD86,1,14,
Gd156,CD4,1,15,
Gd158,CD103,1,16,
Tb159,CD68,1,17,
Gd160,CD8a,1,18,
Dy161,CD11c,1,19,
Dy162,FoxP3,1,20,
Dy163,LAMP3,1,21,
Dy164,CD117,1,22,
Ho165,PD1,1,23,
Er166,CD45RA,1,24,2
Er167,CD39,1,25,
Er168,CD138,1,26,
Tm169,TIGIT,1,27,
Er170,CD141,1,28,
Yb171,HLADRB,1,29,2
Yb172,MKI67,1,30,
Yb173,CD45RO,1,31,2
Yb174,CD28,1,32,
Lu175,CD14,1,33,
Yb176,CTLA4,1,34,
Ir191,DNA191,1,35,1
Ir193,DNA193,1,36,1
Pt194,TTForCD16,1,37,
Pt195,CD127,1,38,
Pt196,Membrane,1,39,2
Pt198,CD38,1,40,
