channel,name,keep,ilastik,deepcell
Pr141,SMA,1,1,
Nd142,CD19,1,2,
Nd143,TIM3,1,3,
Nd144,EpCAM,1,4,
Nd145,TBet,1,5,
Nd146,RORgT,1,6,
Sm147,CD163,1,7,
Nd148,CCR7,1,8,
Sm149,CD15,1,9,
Nd150,PDL1,1,10,
Eu151,GATA3,1,11,
Sm152,CD56,1,12,
Eu153,LAG3,1,13,
Sm154,CD1c,1,14,
Gd155,CD86,1,15,
Gd156,CD4,1,16,
Gd158,CD103,1,17,
Tb159,CD68,1,18,
Gd160,CD8a,1,19,
Dy161,CD11c,1,20,
Dy162,FoxP3,1,21,
Dy163,LAMP3,1,22,
Dy164,CD117,1,23,
Ho165,PD1,1,24,
Er166,CD45RA,1,25,2
Er167,CD39,1,26,
Er168,CD138,1,27,
Tm169,TIGIT,1,28,
Er170,CD141,1,29,
Yb171,HLADRB,1,30,2
Yb172,MKI67,1,31,
Yb173,CD45RO,1,32,2
Yb174,CD28,1,33,
Lu175,CD14,1,34,
Yb176,CTLA4,1,35,
Ir191,DNA191,1,36,1
Ir193,DNA193,1,37,1
Pt194,TTF1orCD16,1,38,
Pt195,CD127,1,39,
Pt196,Membrane,1,40,2
Pt198,CD38,1,41,
